Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,612,0,64,780,0.95
2,600,0,64,810,0.9025
3,1252,0,128,1390,0.8573749999999999
4,932,0,128,990,0.8145062499999999
5,588,0,64,780,0.7737809374999999
6,932,0,128,1000,0.7350918906249998
7,1100,0,128,1110,0.6983372960937497
8,616,0,64,860,0.6634204312890623
9,688,0,64,860,0.6302494097246091
10,748,0,64,930,0.5987369392383786
11,1380,0,128,1410,0.5688000922764596
12,424,0,32,600,0.5403600876626365
13,1340,0,128,1410,0.5133420832795047
14,1432,0,128,1510,0.48767497911552943
15,1332,0,128,1420,0.46329123015975293
16,304,0,32,510,0.44012666865176525
17,2120,0,256,1900,0.41812033521917696
18,1376,0,128,1490,0.3972143184582181
19,1068,0,64,1150,0.37735360253530714
20,708,0,64,940,0.35848592240854177
21,2704,0,256,2400,0.34056162628811465
22,548,0,64,770,0.3235335449737089
23,816,0,64,980,0.30735686772502346
24,1084,0,128,1140,0.2919890243387723
25,1060,0,128,1170,0.27738957312183365
26,1204,0,128,1290,0.263520094465742
27,2040,0,256,1810,0.25034408974245487
28,380,0,32,590,0.2378268852553321
29,568,0,64,750,0.2259355409925655
30,1000,0,64,1240,0.2146387639429372
31,1156,0,128,1310,0.20390682574579033
32,700,0,64,940,0.1937114844585008
33,584,0,64,790,0.18402591023557577
34,2660,0,256,2220,0.17482461472379698
35,344,0,32,570,0.16608338398760714
36,2388,0,256,2180,0.15777921478822676
37,508,0,32,770,0.14989025404881542
38,1184,0,128,1280,0.14239574134637464
39,1700,0,128,1820,0.1352759542790559
40,1444,0,128,1550,0.1285121565651031
41,1464,0,128,1670,0.12208654873684793
42,668,0,64,900,0.11598222130000553
43,1656,0,128,1780,0.11018311023500525
44,712,0,64,830,0.10467395472325498
45,960,0,64,1170,0.1
46,1084,0,128,1200,0.1
47,1204,0,128,1380,0.1
48,1120,0,128,1210,0.1
49,3084,0,256,2640,0.1
50,392,0,32,570,0.1
51,1292,0,128,1400,0.1
52,1644,0,128,1730,0.1
53,2340,0,256,2010,0.1
54,960,0,64,1160,0.1
55,560,0,64,650,0.1
56,1452,0,128,1610,0.1
57,1600,0,128,1760,0.1
58,2280,0,256,2160,0.1
59,1208,0,128,1210,0.1
60,572,0,64,740,0.1
61,548,0,64,760,0.1
62,1124,0,128,1220,0.1
63,940,0,64,1180,0.1
64,1304,0,128,1360,0.1
65,1408,0,128,1550,0.1
66,1432,0,128,1590,0.1
67,2892,0,256,2650,0.1
68,2372,0,256,2120,0.1
69,1512,0,128,1580,0.1
70,1372,0,128,1480,0.1
71,1432,0,128,1500,0.1
72,1412,0,128,1560,0.1
73,884,0,64,1090,0.1
74,2332,0,256,2090,0.1
75,1652,0,128,1790,0.1
76,2532,0,256,2270,0.1
77,1436,0,128,1530,0.1
78,904,0,64,1140,0.1
79,1916,0,256,1670,0.1
80,696,0,64,830,0.1
81,680,0,64,930,0.1
82,1440,0,128,1580,0.1
83,880,0,64,1140,0.1
84,1076,0,128,1140,0.1
85,1632,0,128,1780,0.1
86,1324,0,64,1620,0.1
87,1376,0,128,1400,0.1
88,1968,0,256,1680,0.1
89,1012,0,64,1240,0.1
90,540,0,64,680,0.1
91,1428,0,128,1630,0.1
92,1352,0,128,1430,0.1
93,868,0,64,1170,0.1
94,1164,0,128,1220,0.1
