Episode,Score,Invalid Moves,Highest Tile,Total Reward
250,1764,0,128,1764
251,2508,0,256,2508
252,820,0,64,820
253,1608,0,128,1608
254,688,0,64,688
255,1488,0,128,1488
256,624,0,64,624
257,1064,0,128,1064
258,1464,0,128,1464
259,1076,0,128,1076
260,1064,0,64,1064
261,1384,0,128,1384
262,588,0,64,588
263,1288,0,128,1288
264,1124,0,128,1124
265,680,0,64,680
266,852,0,64,852
267,1348,0,128,1348
268,1316,0,128,1316
269,484,0,32,484
270,1148,0,128,1148
271,664,0,64,664
272,1288,0,128,1288
273,624,0,64,624
274,668,0,64,668
275,1564,0,128,1564
276,2520,0,256,2520
277,540,0,64,540
278,676,0,64,676
279,640,0,64,640
280,1180,0,128,1180
281,732,0,64,732
282,1596,0,128,1596
283,1288,0,128,1288
284,1964,0,128,1964
285,888,0,64,888
286,1628,0,128,1628
287,2372,0,256,2372
288,1304,0,128,1304
289,1400,0,128,1400
290,564,0,32,564
291,2756,0,256,2756
292,1144,0,128,1144
293,1488,0,128,1488
294,1328,0,128,1328
295,1208,0,64,1208
296,964,0,64,964
297,1652,0,128,1652
298,1156,0,128,1156
299,620,0,64,620
300,1272,0,128,1272
301,1492,0,128,1492
302,1200,0,128,1200
303,1732,0,128,1732
304,1160,0,128,1160
305,1740,0,128,1740
306,1408,0,128,1408
307,532,0,64,532
308,1472,0,128,1472
309,724,0,64,724
310,1324,0,128,1324
311,1328,0,128,1328
312,1312,0,128,1312
313,1120,0,128,1120
314,900,0,64,900
315,592,0,64,592
316,944,0,64,944
317,1184,0,128,1184
318,572,0,64,572
319,2464,0,256,2464
320,1568,0,128,1568
321,1652,0,128,1652
322,488,0,32,488
323,1840,0,128,1840
324,1604,0,128,1604
325,1688,0,128,1688
326,988,0,128,988
327,1032,0,64,1032
328,660,0,64,660
329,612,0,64,612
330,1920,0,128,1920
331,1060,0,128,1060
332,1300,0,128,1300
333,1644,0,128,1644
334,1076,0,64,1076
335,604,0,64,604
336,1692,0,128,1692
337,1280,0,128,1280
338,760,0,64,760
339,916,0,64,916
340,1452,0,128,1452
341,2456,0,256,2456
342,2492,0,256,2492
343,1588,0,128,1588
344,736,0,64,736
345,1472,0,128,1472
346,1860,0,128,1860
347,1548,0,128,1548
348,1760,0,128,1760
349,1364,0,128,1364
350,1476,0,128,1476
351,1128,0,64,1128
352,3168,0,256,3168
353,960,0,64,960
354,728,0,64,728
355,2772,0,256,2772
356,488,0,64,488
357,2468,0,256,2468
358,3240,0,256,3240
359,1100,0,64,1100
360,1024,0,64,1024
361,3068,0,256,3068
362,648,0,64,648
363,1956,0,128,1956
364,500,0,64,500
365,1672,0,128,1672
366,1688,0,128,1688
367,2876,0,256,2876
368,620,0,32,620
369,1916,0,128,1916
370,1156,0,128,1156
371,1324,0,128,1324
372,464,0,32,464
373,572,0,32,572
374,3088,0,256,3088
375,656,0,64,656
376,1544,0,128,1544
377,2356,0,256,2356
378,712,0,64,712
379,284,0,32,284
380,988,0,64,988
381,456,0,64,456
382,728,0,64,728
383,1384,0,128,1384
384,784,0,64,784
385,1904,0,128,1904
386,2008,0,128,2008
387,420,0,32,420
388,464,0,32,464
389,964,0,64,964
390,1060,0,64,1060
391,1288,0,128,1288
392,1712,0,128,1712
393,2896,0,256,2896
394,3452,0,256,3452
395,1476,0,128,1476
396,2964,0,256,2964
397,1260,0,128,1260
398,580,0,64,580
399,2076,0,128,2076
400,1036,0,64,1036
401,1096,0,128,1096
402,1040,0,64,1040
403,2432,0,256,2432
404,1216,0,64,1216
405,776,0,64,776
406,532,0,32,532
407,872,0,64,872
408,848,0,64,848
409,1176,0,128,1176
410,2896,0,256,2896
411,1740,0,128,1740
412,280,0,32,280
413,376,0,32,376
414,2724,0,256,2724
415,1088,0,128,1088
416,1396,0,128,1396
417,2856,0,256,2856
418,1312,0,128,1312
419,3024,0,256,3024
420,1652,0,128,1652
421,932,0,64,932
422,1072,0,128,1072
423,1052,0,64,1052
424,1652,0,128,1652
425,1292,0,128,1292
426,3196,0,256,3196
427,1536,0,128,1536
428,2432,0,256,2432
429,1240,0,128,1240
430,692,0,64,692
431,1052,0,64,1052
432,628,0,64,628
433,2216,0,128,2216
434,672,0,64,672
435,716,0,64,716
436,2000,0,128,2000
437,712,0,32,712
438,1648,0,128,1648
439,1044,0,128,1044
440,1624,0,128,1624
441,2896,0,256,2896
442,1600,0,128,1600
443,2032,0,256,2032
444,1248,0,128,1248
445,1040,0,64,1040
446,1416,0,128,1416
447,1364,0,128,1364
448,2788,0,256,2788
449,1620,0,128,1620
450,1668,0,128,1668
451,1192,0,128,1192
452,1472,0,128,1472
453,1180,0,64,1180
454,1472,0,128,1472
455,408,0,32,408
456,2376,0,256,2376
457,504,0,64,504
458,1488,0,128,1488
459,1788,0,128,1788
460,2972,0,256,2972
461,2856,0,256,2856
