Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,984,0,128,185.38277922662792,0.8
2,1248,0,128,202.6219812607317,0.6400000000000001
3,724,0,64,166.3955645507252,0.5120000000000001
4,1372,0,128,204.94026597861884,0.4096000000000001
5,652,0,64,142.91113301120444,0.3276800000000001
6,624,0,64,152.1202485824877,0.2621440000000001
7,620,0,64,118.53241634861293,0.20971520000000007
8,1628,0,128,251.85633621731301,0.1677721600000001
9,576,0,32,134.7321041846384,0.13421772800000006
10,756,0,64,138.52190099280932,0.10737418240000006
11,840,0,64,136.50482985934306,0.1
12,548,0,32,111.42179498360517,0.1
13,1180,0,128,138.79901180467218,0.1
14,632,0,64,133.4633754503684,0.1
15,2332,0,256,289.309483073195,0.1
16,404,0,64,109.61267337506322,0.1
17,384,0,32,101.21670688057112,0.1
18,1028,0,128,158.2927753572508,0.1
19,1776,0,128,301.5638477971926,0.1
20,1256,0,128,155.73032145816998,0.1
21,840,0,64,140.15131301500594,0.1
22,1332,0,128,184.2221001854757,0.1
23,468,0,32,92.47809714454544,0.1
24,272,0,32,100.63367770573397,0.1
25,664,0,64,130.408929238736,0.1
26,844,0,64,129.7308265984998,0.1
27,980,0,128,142.14960606874038,0.1
28,428,0,32,129.066685057624,0.1
29,1060,0,128,171.82896973171165,0.1
30,540,0,64,122.03404712759631,0.1
31,1060,0,128,186.3268671359764,0.1
32,636,0,64,158.85979705768597,0.1
33,1520,0,128,211.96177185846184,0.1
34,192,0,16,82.33797778032279,0.1
35,652,0,64,146.35104324374632,0.1
36,900,0,64,155.69131472631398,0.1
37,968,0,64,143.3521703343715,0.1
38,780,0,64,175.53921993040734,0.1
39,1168,0,128,183.33077447063917,0.1
40,1284,0,128,196.50764021906804,0.1
41,424,0,64,123.60178773856876,0.1
42,380,0,32,92.74742762722683,0.1
43,712,0,64,155.40953006186598,0.1
44,864,0,64,132.26173709952917,0.1
45,716,0,64,137.00929619566335,0.1
46,900,0,64,181.63381791096558,0.1
47,564,0,64,123.04473500167504,0.1
48,2352,0,256,300.88451868705585,0.1
49,1400,0,128,224.24663820523168,0.1
50,1196,0,128,172.96185107937603,0.1
51,1064,0,128,198.71197611655572,0.1
52,488,0,64,113.00130610190514,0.1
53,264,0,32,99.86153850101083,0.1
54,1336,0,128,212.91595646718585,0.1
55,512,0,32,95.0210464141421,0.1
56,720,0,64,130.32710538421543,0.1
57,916,0,64,159.27273592568852,0.1
58,1420,0,128,221.48369881183737,0.1
59,740,0,64,157.37635555301685,0.1
60,712,0,64,152.2576055575052,0.1
61,1168,0,128,198.93717730774014,0.1
62,840,0,64,148.77694838861746,0.1
63,1376,0,128,215.4361211083509,0.1
64,1176,0,128,176.04643291096176,0.1
65,1044,0,64,162.771003137044,0.1
66,1660,0,128,216.61727730188431,0.1
67,592,0,64,102.33636827303555,0.1
68,516,0,64,126.4355514143182,0.1
69,1296,0,128,170.16813275655795,0.1
70,1296,0,128,199.74880888949872,0.1
71,600,0,64,145.85835768250266,0.1
72,368,0,32,90.18081319945983,0.1
73,332,0,32,113.79721740055149,0.1
74,960,0,64,180.5122594824446,0.1
75,1028,0,128,174.04631055363208,0.1
76,568,0,64,155.92093860607983,0.1
77,1320,0,128,189.04269804041115,0.1
78,1028,0,128,178.68657813873196,0.1
79,812,0,64,141.56142177003548,0.1
80,756,0,64,145.85176720159035,0.1
81,1316,0,128,175.41125245542955,0.1
82,756,0,64,169.9456467438623,0.1
83,1332,0,128,185.2847662295131,0.1
84,1344,0,128,236.93522609911136,0.1
85,616,0,64,153.98089077074206,0.1
86,2608,0,256,351.27708921825615,0.1
87,732,0,64,145.63040202542794,0.1
88,384,0,32,111.44226401913606,0.1
89,748,0,64,152.07480311587392,0.1
90,268,0,32,90.42258515416079,0.1
91,276,0,32,86.4283995441964,0.1
92,1096,0,128,181.53109267927044,0.1
93,1352,0,128,192.55965196361385,0.1
94,828,0,64,127.30914442524157,0.1
95,452,0,32,114.73873202164957,0.1
96,3016,0,256,268.95103235614727,0.1
97,1448,0,128,208.50192247512055,0.1
98,1636,0,128,233.38383983075593,0.1
99,1144,0,128,210.87764334745083,0.1
100,2568,0,256,376.14329131386074,0.1
101,852,0,64,177.38120655256887,0.1
102,1196,0,128,195.3606270386002,0.1
103,2560,0,256,331.8153034503854,0.1
104,1108,0,128,160.94057175929333,0.1
105,720,0,64,148.1652599959493,0.1
106,1004,0,128,151.8644271480472,0.1
107,872,0,64,136.84580466237495,0.1
108,872,0,64,188.30066897328985,0.1
109,324,0,32,90.2182871992293,0.1
110,1348,0,128,200.12365259061198,0.1
111,1492,0,128,193.9013819133586,0.1
112,2240,0,256,218.13744986711814,0.1
113,2364,0,256,247.5040116424976,0.1
114,788,0,64,143.18341293273082,0.1
115,1488,0,128,188.80159165568264,0.1
116,668,0,64,125.87839130614529,0.1
117,1160,0,128,174.59406498737806,0.1
118,972,0,64,179.37338596192288,0.1
119,1308,0,128,180.40191363976325,0.1
120,1204,0,128,211.635350690916,0.1
121,1364,0,128,200.6522038173735,0.1
122,540,0,64,144.33355084606305,0.1
123,280,0,32,94.82163079400426,0.1
124,1088,0,128,172.51745282495327,0.1
125,1192,0,128,168.0726008201854,0.1
126,1072,0,64,186.34609634192785,0.1
127,932,0,64,183.8966287258337,0.1
128,1092,0,64,217.40145503059193,0.1
129,716,0,64,163.65721045401855,0.1
130,2476,0,256,328.79450360816986,0.1
131,1360,0,128,198.5357630918712,0.1
132,1376,0,128,220.8710946003878,0.1
133,120,0,16,67.35822299345938,0.1
134,284,0,32,97.0191590270698,0.1
135,1576,0,128,248.3451917419512,0.1
136,680,0,64,140.21455719821472,0.1
137,644,0,64,164.1148239582555,0.1
138,1132,0,128,203.14964313962076,0.1
139,1004,0,64,143.0131832627699,0.1
140,684,0,64,132.0919295303919,0.1
141,708,0,64,154.50807464936025,0.1
142,1188,0,128,208.78889816695448,0.1
143,1596,0,128,193.14639902897167,0.1
144,1244,0,128,193.73179742083786,0.1
145,596,0,64,111.26996870738807,0.1
