Restart,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
205,2404,0,256,2120,0.1
206,1212,0,128,1100,0.1
207,1464,0,128,1650,0.1
208,744,0,64,950,0.1
209,1260,0,128,1340,0.1
210,304,0,32,340,0.1
211,696,0,64,800,0.1
212,2320,0,128,2220,0.1
213,444,0,32,630,0.1
214,412,0,32,590,0.1
215,1508,0,128,1490,0.1
216,1028,0,128,1040,0.1
217,1320,0,128,1310,0.1
218,1940,0,128,1940,0.1
219,1132,0,128,1090,0.1
220,1400,0,128,1530,0.1
221,1556,0,128,1600,0.1
222,1316,0,128,1290,0.1
223,3000,0,256,2700,0.1
224,1452,0,128,1600,0.1
225,1076,0,128,1100,0.1
226,3136,0,256,2680,0.1
227,2440,0,128,2410,0.1
228,2180,0,128,2200,0.1
229,324,0,32,480,0.1
230,1372,0,128,1360,0.1
231,1596,0,128,1690,0.1
232,840,0,64,990,0.1
233,740,0,64,860,0.1
234,1708,0,128,1820,0.1
235,1432,0,128,1580,0.1
236,2508,0,256,2300,0.1
237,1624,0,128,1680,0.1
238,1080,0,64,1380,0.1
239,1396,0,128,1380,0.1
240,672,0,64,800,0.1
241,2468,0,256,2190,0.1
242,1632,0,128,1730,0.1
243,1724,0,128,1790,0.1
244,720,0,64,900,0.1
245,1284,0,128,1420,0.1
246,1296,0,128,1250,0.1
247,836,0,64,930,0.1
248,916,0,64,980,0.1
249,1592,0,128,1540,0.1
250,1484,0,128,1590,0.1
251,608,0,64,710,0.1
252,460,0,32,580,0.1
253,1672,0,128,1720,0.1
254,1568,0,128,1610,0.1
255,1236,0,64,1360,0.1
256,524,0,32,660,0.1
257,1492,0,128,1630,0.1
258,1844,0,128,1930,0.1
259,676,0,64,790,0.1
260,2284,0,128,2220,0.1
261,1724,0,128,1840,0.1
262,3164,0,256,2760,0.1
263,2592,0,256,2130,0.1
264,1460,0,128,1560,0.1
265,3004,0,256,2500,0.1
266,2556,0,256,2300,0.1
267,2104,0,128,2090,0.1
268,476,0,64,560,0.1
269,692,0,64,830,0.1
270,1412,0,128,1520,0.1
271,756,0,64,950,0.1
272,4856,0,512,3600,0.1
273,1612,0,128,1660,0.1
274,2600,0,256,2460,0.1
275,824,0,64,1000,0.1
276,2080,0,128,2080,0.1
277,1004,0,64,1220,0.1
278,1516,0,128,1540,0.1
279,1896,0,128,1950,0.1
280,2336,0,128,2280,0.1
281,3196,0,256,2860,0.1
282,2464,0,256,2140,0.1
283,1352,0,128,1380,0.1
284,592,0,64,670,0.1
285,924,0,64,1060,0.1
286,1228,0,64,1340,0.1
287,2404,0,256,2180,0.1
288,1624,0,128,1640,0.1
289,1480,0,128,1530,0.1
290,1532,0,128,1590,0.1
291,2728,0,256,2500,0.1
292,608,0,64,650,0.1
293,2248,0,256,1970,0.1
294,1624,0,128,1670,0.1
295,1436,0,128,1490,0.1
296,948,0,64,1120,0.1
297,1720,0,128,1760,0.1
298,1276,0,128,1340,0.1
299,760,0,64,800,0.1
300,2524,0,256,2210,0.1
301,1424,0,128,1390,0.1
302,1512,0,128,1680,0.1
303,2624,0,256,2400,0.1
304,1160,0,64,1350,0.1
305,704,0,64,870,0.1
306,1424,0,128,1440,0.1
307,684,0,64,870,0.1
308,644,0,64,780,0.1
309,720,0,64,860,0.1
310,1768,0,128,1870,0.1
311,2612,0,256,2260,0.1
312,1196,0,128,1210,0.1
313,760,0,64,840,0.1
314,600,0,64,680,0.1
315,576,0,64,710,0.1
316,772,0,64,930,0.1
317,892,0,64,1050,0.1
318,1452,0,128,1420,0.1
319,2156,0,256,1880,0.1
320,2952,0,256,2540,0.1
321,2304,0,128,2320,0.1
322,724,0,64,850,0.1
323,1596,0,128,1700,0.1
324,2700,0,256,2330,0.1
325,476,0,32,590,0.1
326,1396,0,128,1400,0.1
327,1400,0,128,1460,0.1
328,728,0,64,820,0.1
329,2428,0,256,2090,0.1
330,576,0,64,660,0.1
331,2120,0,256,1860,0.1
332,1840,0,128,1800,0.1
333,1720,0,128,1850,0.1
334,2940,0,256,2400,0.1
335,1744,0,128,1730,0.1
336,1608,0,128,1630,0.1
337,1932,0,128,1940,0.1
338,600,0,64,670,0.1
339,1868,0,128,1820,0.1
340,3476,0,256,2750,0.1
341,1260,0,128,1250,0.1
342,1076,0,64,1160,0.1
343,1432,0,128,1510,0.1
344,2576,0,256,2180,0.1
345,1404,0,128,1320,0.1
346,2976,0,256,2560,0.1
347,1408,0,128,1430,0.1
348,1112,0,64,1310,0.1
349,1920,0,128,2080,0.1
350,1564,0,128,1600,0.1
351,1888,0,128,2000,0.1
352,1488,0,128,1460,0.1
353,856,0,64,980,0.1
354,1464,0,128,1560,0.1
355,1400,0,128,1450,0.1
356,1264,0,128,1290,0.1
357,992,0,64,1180,0.1
358,3528,0,256,2950,0.1
359,2888,0,256,2490,0.1
360,1572,0,128,1560,0.1
361,1664,0,128,1750,0.1
362,1264,0,128,1310,0.1
363,1536,0,128,1680,0.1
364,1504,0,128,1560,0.1
365,1040,0,64,1250,0.1
366,1448,0,128,1500,0.1
367,588,0,64,700,0.1
368,1880,0,128,1870,0.1
369,1020,0,64,1150,0.1
370,1648,0,128,1810,0.1
371,4840,0,512,3490,0.1
372,2048,0,128,2120,0.1
373,1100,0,128,1110,0.1
374,1424,0,128,1360,0.1
375,912,0,64,1020,0.1
376,516,0,32,680,0.1
377,1316,0,128,1290,0.1
378,648,0,64,810,0.1
379,1120,0,128,1150,0.1
380,696,0,64,830,0.1
381,864,0,64,1040,0.1
382,700,0,64,860,0.1
383,1112,0,128,1160,0.1
384,764,0,64,990,0.1
385,1680,0,128,1700,0.1
386,1288,0,64,1470,0.1
387,2488,0,256,2110,0.1
388,792,0,64,1010,0.1
389,708,0,64,800,0.1
390,396,0,32,530,0.1
391,384,0,32,500,0.1
392,788,0,64,970,0.1
393,3088,0,256,2690,0.1
394,1728,0,128,1760,0.1
395,2164,0,128,2130,0.1
396,2180,0,256,1870,0.1
397,1412,0,128,1480,0.1
398,3928,0,256,3550,0.1
399,928,0,64,1090,0.1
400,3076,0,256,2680,0.1
401,1868,0,128,1940,0.1
402,1464,0,128,1470,0.1
403,1568,0,128,1710,0.1
404,5404,0,512,4060,0.1
405,1228,0,128,1300,0.1
406,1376,0,128,1560,0.1
407,616,0,64,730,0.1
408,728,0,64,800,0.1
409,1564,0,128,1550,0.1
410,1148,0,128,1250,0.1
411,1004,0,64,1160,0.1
412,2416,0,256,2160,0.1
413,1484,0,128,1590,0.1
414,240,0,16,340,0.1
415,1392,0,128,1370,0.1
416,1652,0,128,1720,0.1
417,1360,0,128,1450,0.1
418,1380,0,128,1480,0.1
419,1776,0,128,1850,0.1
420,1368,0,128,1410,0.1
421,1440,0,128,1530,0.1
422,1544,0,128,1570,0.1
423,1280,0,128,1380,0.1
424,1876,0,128,1900,0.1
425,1500,0,128,1450,0.1
426,1128,0,64,1280,0.1
427,3040,0,256,2560,0.1
428,1660,0,128,1690,0.1
429,1484,0,128,1510,0.1
430,376,0,32,490,0.1
431,1596,0,128,1670,0.1
432,1540,0,128,1650,0.1
433,580,0,64,690,0.1
434,1064,0,128,1080,0.1
435,1312,0,128,1260,0.1
436,660,0,64,780,0.1
437,1440,0,128,1410,0.1
438,3532,0,256,3130,0.1
439,2524,0,256,2220,0.1
440,1868,0,128,1900,0.1
441,3224,0,256,2760,0.1
442,1396,0,128,1480,0.1
443,944,0,64,1090,0.1
444,1232,0,128,1280,0.1
445,2572,0,256,2210,0.1
446,1004,0,64,1230,0.1
447,1624,0,128,1560,0.1
448,1512,0,128,1540,0.1
449,1956,0,128,1950,0.1
450,868,0,64,960,0.1
451,1312,0,64,1520,0.1
452,640,0,64,820,0.1
453,3052,0,256,2570,0.1
454,2184,0,128,2200,0.1
455,1408,0,128,1530,0.1
456,1024,0,64,1060,0.1
457,436,0,32,570,0.1
458,1632,0,128,1680,0.1
459,2100,0,256,1820,0.1
460,3100,0,256,2710,0.1
461,2072,0,128,2170,0.1
462,1756,0,128,1920,0.1
463,1008,0,64,1160,0.1
464,736,0,64,920,0.1
465,2560,0,256,2420,0.1
466,1100,0,128,1130,0.1
467,672,0,64,740,0.1
468,1348,0,128,1360,0.1
469,1648,0,128,1680,0.1
470,1452,0,128,1510,0.1
471,1612,0,128,1830,0.1
472,1184,0,128,1260,0.1
473,2516,0,256,2390,0.1
474,1072,0,128,1130,0.1
475,1708,0,128,1680,0.1
476,1536,0,128,1670,0.1
477,860,0,64,1070,0.1
478,1532,0,128,1580,0.1
479,2208,0,128,2290,0.1
480,476,0,32,650,0.1
481,752,0,64,930,0.1
482,752,0,64,990,0.1
483,1588,0,128,1680,0.1
484,728,0,64,940,0.1
485,864,0,64,1000,0.1
486,1408,0,128,1540,0.1
487,2488,0,256,2200,0.1
488,1168,0,64,1330,0.1
489,2680,0,256,2310,0.1
490,1316,0,128,1470,0.1
491,1512,0,128,1550,0.1
492,1684,0,128,1790,0.1
493,1476,0,128,1550,0.1
494,1432,0,128,1470,0.1
495,3160,0,256,2830,0.1
496,2428,0,128,2460,0.1
497,1180,0,128,1210,0.1
498,1844,0,128,1850,0.1
499,2196,0,128,2130,0.1
500,708,0,64,780,0.1
