Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,968,40,64,-160,0.8
2,308,29,32,-60,0.6400000000000001
3,1480,86,128,-1600,0.5120000000000001
4,320,21,32,-590,0.4096000000000001
5,580,46,64,-3260,0.3276800000000001
6,356,21,32,-300,0.2621440000000001
7,1436,102,128,-4050,0.20971520000000007
8,628,55,64,-3780,0.1677721600000001
9,968,90,128,-8800,0.13421772800000006
10,348,49,32,-1870,0.10737418240000006
11,1244,340,128,-55200,0.08589934592000005
12,148,87,16,-14670,0.06871947673600004
13,736,237,64,-48550,0.054975581388800036
14,608,174,64,-34820,0.043980465111040035
15,276,104,32,-22110,0.03518437208883203
16,356,219,32,-49540,0.028147497671065624
17,940,274,64,-48020,0.022517998136852502
18,948,428,128,-142800,0.018014398509482003
19,624,287,64,-56270,0.014411518807585602
20,624,328,64,-101300,0.011529215046068483
21,404,165,32,-26030,0.009223372036854787
22,704,907,64,-392340,0.00737869762948383
23,1264,867,128,-405960,0.005902958103587064
24,360,701,32,-326120,0.004722366482869652
25,1000,741,128,-289220,0.0037778931862957215
26,1016,804,128,-330450,0.0030223145490365774
27,412,406,32,-215180,0.002417851639229262
28,668,640,64,-296280,0.0019342813113834097
29,432,344,32,-176200,0.0015474250491067279
30,820,786,64,-345970,0.0012379400392853823
31,200,209,16,-94430,0.0009903520314283058
32,712,906,64,-720800,0.0007922816251426448
33,628,536,64,-221680,0.0006338253001141158
34,936,907,128,-534110,0.0005070602400912927
35,200,490,32,-391030,0.00040564819207303417
36,872,548,64,-186630,0.00032451855365842736
37,128,114,16,-34320,0.00025961484292674194
38,432,777,32,-540610,0.00020769187434139353
