Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,328,0,32,470,0.1
2,1268,0,128,1170,0.1
3,3824,0,256,3400,0.1
4,800,0,64,960,0.1
5,1492,0,128,1560,0.1
6,1388,0,128,1410,0.1
7,1572,0,128,1570,0.1
8,1264,0,128,1250,0.1
9,1224,0,128,1310,0.1
10,1484,0,128,1550,0.1
11,3068,0,256,2700,0.1
12,4912,0,512,3870,0.1
13,1572,0,128,1650,0.1
14,1440,0,128,1460,0.1
15,2056,0,128,2150,0.1
16,1000,0,64,1100,0.1
17,1584,0,128,1680,0.1
18,1748,0,128,1810,0.1
19,420,0,32,600,0.1
20,1488,0,128,1500,0.1
21,2772,0,256,2310,0.1
22,712,0,64,810,0.1
23,776,0,64,990,0.1
24,3360,0,256,2990,0.1
25,712,0,64,900,0.1
26,3184,0,256,2990,0.1
27,3200,0,256,2720,0.1
28,1288,0,128,1320,0.1
29,1644,0,128,1780,0.1
30,1020,0,64,1120,0.1
31,1056,0,128,1090,0.1
32,1048,0,64,1330,0.1
33,708,0,64,880,0.1
34,1172,0,128,1280,0.1
35,960,0,64,1200,0.1
36,740,0,64,860,0.1
37,676,0,64,800,0.1
38,972,0,64,1070,0.1
39,1400,0,128,1410,0.1
40,1512,0,128,1550,0.1
41,1020,0,128,980,0.1
42,2832,0,256,2530,0.1
43,1384,0,128,1430,0.1
44,748,0,64,970,0.1
45,1660,0,128,1710,0.1
46,1092,0,128,1120,0.1
47,2484,0,256,2310,0.1
48,708,0,64,800,0.1
49,1064,0,64,1350,0.1
50,2000,0,128,1910,0.1
51,3916,0,256,3250,0.1
52,2592,0,256,2280,0.1
53,2332,0,256,2040,0.1
54,1404,0,128,1470,0.1
55,2376,0,256,2040,0.1
56,1848,0,128,1810,0.1
57,1744,0,128,1800,0.1
58,1868,0,128,2000,0.1
59,1552,0,128,1630,0.1
60,2168,0,128,2250,0.1
61,1464,0,128,1440,0.1
62,2176,0,256,1940,0.1
63,2248,0,128,2300,0.1
64,1476,0,128,1500,0.1
65,1636,0,128,1600,0.1
66,776,0,64,960,0.1
67,1680,0,128,1870,0.1
68,1924,0,128,1850,0.1
69,1008,0,64,1210,0.1
70,2576,0,256,2140,0.1
71,820,0,64,950,0.1
72,660,0,64,810,0.1
73,1300,0,128,1300,0.1
74,3612,0,256,2900,0.1
75,1088,0,128,1180,0.1
76,2788,0,256,2330,0.1
77,1872,0,128,1700,0.1
78,1564,0,128,1590,0.1
79,1472,0,128,1450,0.1
80,2444,0,256,2170,0.1
81,2436,0,256,2180,0.1
82,1448,0,128,1470,0.1
83,284,0,32,380,0.1
84,1752,0,128,1920,0.1
85,1228,0,128,1230,0.1
86,1668,0,128,1760,0.1
87,1424,0,128,1440,0.1
88,2848,0,256,2330,0.1
89,1544,0,128,1610,0.1
90,1904,0,128,1850,0.1
91,2136,0,256,1800,0.1
92,1528,0,128,1600,0.1
93,316,0,32,430,0.1
94,2792,0,256,2490,0.1
95,3192,0,256,2830,0.1
96,2380,0,128,2280,0.1
97,2988,0,256,2660,0.1
98,2192,0,128,2130,0.1
99,2052,0,128,1830,0.1
100,2244,0,256,1880,0.1
101,620,0,64,700,0.1
102,2360,0,256,2130,0.1
103,1056,0,128,1130,0.1
104,1904,0,128,1850,0.1
105,724,0,64,770,0.1
106,1856,0,128,1920,0.1
107,1820,0,128,1740,0.1
108,740,0,64,800,0.1
109,1680,0,128,1750,0.1
110,1612,0,128,1570,0.1
111,1676,0,128,1720,0.1
112,3508,0,256,2970,0.1
113,1384,0,128,1500,0.1
114,1472,0,128,1560,0.1
115,1060,0,64,1320,0.1
116,928,0,64,1060,0.1
117,3564,0,256,3240,0.1
118,752,0,64,910,0.1
119,3712,0,256,3260,0.1
120,808,0,64,1030,0.1
121,656,0,64,770,0.1
122,1852,0,128,1780,0.1
123,1208,0,128,1320,0.1
124,2640,0,256,2350,0.1
125,764,0,64,950,0.1
126,2488,0,128,2330,0.1
127,2752,0,256,2290,0.1
128,1132,0,128,1230,0.1
129,700,0,64,840,0.1
130,596,0,64,730,0.1
131,3012,0,256,2820,0.1
132,1512,0,128,1550,0.1
133,2068,0,128,2000,0.1
134,1608,0,128,1810,0.1
135,1720,0,128,1730,0.1
136,1484,0,128,1440,0.1
137,1416,0,128,1440,0.1
138,2164,0,128,2040,0.1
139,3252,0,256,2870,0.1
140,1496,0,128,1610,0.1
141,1916,0,128,2060,0.1
142,1292,0,64,1520,0.1
143,6604,0,512,5060,0.1
144,696,0,64,850,0.1
145,744,0,64,930,0.1
146,2508,0,256,2300,0.1
147,1284,0,64,1450,0.1
148,2108,0,128,1930,0.1
149,1388,0,128,1550,0.1
150,1464,0,128,1490,0.1
151,3012,0,256,2760,0.1
152,1840,0,128,1850,0.1
153,628,0,64,750,0.1
154,1628,0,128,1640,0.1
155,1344,0,128,1380,0.1
156,1432,0,128,1520,0.1
157,2612,0,256,2300,0.1
158,1488,0,128,1440,0.1
159,1088,0,128,1240,0.1
160,2908,0,256,2620,0.1
161,1708,0,128,1750,0.1
162,1412,0,128,1400,0.1
163,1608,0,128,1610,0.1
164,1152,0,128,1230,0.1
165,3196,0,256,2850,0.1
166,2996,0,256,2610,0.1
167,1688,0,128,1750,0.1
168,812,0,64,1080,0.1
169,1496,0,128,1630,0.1
170,3244,0,256,2830,0.1
171,2840,0,256,2500,0.1
172,704,0,64,890,0.1
173,944,0,64,1020,0.1
174,1712,0,128,1680,0.1
175,1776,0,128,1920,0.1
176,748,0,64,800,0.1
177,1724,0,128,1850,0.1
178,1524,0,128,1600,0.1
179,1680,0,128,1630,0.1
180,968,0,128,1040,0.1
181,2656,0,256,2360,0.1
182,3088,0,256,2690,0.1
183,1432,0,128,1510,0.1
184,2492,0,256,2260,0.1
185,2416,0,256,2090,0.1
186,3192,0,256,2830,0.1
187,2688,0,128,2550,0.1
188,1224,0,128,1360,0.1
189,1576,0,128,1590,0.1
190,776,0,64,920,0.1
191,1216,0,128,1130,0.1
192,1052,0,128,1060,0.1
193,776,0,64,910,0.1
194,2428,0,256,2110,0.1
195,848,0,64,940,0.1
196,1656,0,128,1660,0.1
197,1428,0,128,1480,0.1
198,1148,0,64,1340,0.1
199,3276,0,256,2980,0.1
200,1460,0,128,1520,0.1
201,1784,0,128,1790,0.1
202,2820,0,256,2400,0.1
203,1864,0,128,2030,0.1
204,1896,0,128,1860,0.1
205,3156,0,256,2740,0.1
206,1436,0,128,1430,0.1
207,772,0,64,1010,0.1
208,5884,0,512,4610,0.1
209,2280,0,128,2310,0.1
210,1868,0,128,1990,0.1
211,1672,0,128,1770,0.1
212,5924,0,512,4410,0.1
213,2192,0,128,2090,0.1
214,148,0,16,250,0.1
215,1508,0,128,1540,0.1
216,896,0,64,1010,0.1
217,1108,0,64,1220,0.1
218,652,0,64,800,0.1
219,2748,0,256,2470,0.1
220,568,0,64,710,0.1
221,2276,0,256,2000,0.1
222,1860,0,128,1940,0.1
223,2668,0,256,2340,0.1
224,2544,0,256,2280,0.1
225,976,0,64,1250,0.1
